umlsid,phenotype,hpoid,cr
C4021381,Patchy sclerosis of proximal phalanx of finger,HP:0009856,PT
C0263485,Trichorrhexis nodosa,HP:0009886,PT
C4021377,Prominent crus of helix,HP:0009899,PT
C4021376,Cleft helix,HP:0009902,PT
C1851897,Anterior creases of earlobe,HP:0009908,PT
C0266667,Cyclopia,HP:0009914,PT
C1271219,Ectopia pupillae,HP:0009918,PT
C0265740,Aplasia of the nose,HP:0009927,PT
C1844809,Thick nasal alae,HP:0009928,PT
C4021372,Supernumerary naris,HP:0009934,PT
C3554724,Complete duplication of thumb phalanx,HP:0009943,PT
C4024146,Partial duplication of the phalanges of the 2nd finger,HP:0009956,PT
C4024142,Partial duplication of the phalanges of the 3rd finger,HP:0009961,PT
C4021362,Duplication of the middle phalanx of the 3rd finger,HP:0009963,PT
C4021361,Duplication of the proximal phalanx of the 3rd finger,HP:0009964,PT
C4021356,Duplication of the proximal phalanx of the 4th finger,HP:0009977,PT
C4024124,Complete duplication of the proximal phalanx of the 5th finger,HP:0009993,PT
C4024123,Partial duplication of the middle phalanx of the 5th finger,HP:0009995,PT
C4024120,Partial duplication of the phalanx of hand,HP:0009999,PT
C4024111,Abnormality of the 4th metacarpal,HP:0010012,PT
C4024109,Abnormality of the epiphysis of the 1st metacarpal,HP:0010014,PT
C4024106,Cone-shaped epiphysis of the 1st metacarpal,HP:0010017,PT
C4024086,Aplasia of the 4th metacarpal,HP:0010043,PT
C4024081,Abnormality of the epiphyses of the hallux,HP:0010056,PT
C4021342,Bullet-shaped hallux phalanx,HP:0010060,PT
C4021340,Patchy sclerosis of hallux phalanx,HP:0010063,PT
C4024074,Curved 1st metatarsal,HP:0010070,PT
C4024069,Aplasia/Hypoplasia of the distal phalanx of the hallux,HP:0010076,PT
C4024067,Bullet-shaped distal phalanx of the hallux,HP:0010078,PT
C4024058,Osteolytic defects of the proximal phalanx of the hallux,HP:0010089,PT
C4024057,Patchy sclerosis of the proximal phalanx of the hallux,HP:0010090,PT
C4021335,Short distal phalanx of hallux,HP:0010103,PT
C4024046,Aplasia of the phalanges of the hallux,HP:0010110,PT
C4020906,Absent hallux epiphysis,HP:0010113,PT
C4024045,Bracket epiphyses of the hallux,HP:0010114,PT
C4024044,Cone-shaped epiphyses of the hallux,HP:0010115,PT
C4024043,Enlarged epiphyses of the hallux,HP:0010116,PT
C4024035,Abnormality of the epiphysis of the distal phalanx of the hallux,HP:0010124,PT
C4024028,Fragmentation of the epiphysis of the proximal phalanx of the hallux,HP:0010131,PT
C4024017,Fragmentation of the epiphysis of the distal phalanx of the hallux,HP:0010142,PT
C4024007,Enlarged epiphysis of the 1st metatarsal,HP:0010152,PT
C4024006,Fragmentation of the epiphysis of the 1st metatarsal,HP:0010153,PT
C4023998,Abnormality of the phalanges of the toes,HP:0010161,PT
C4023992,Irregular epiphyses of the toes,HP:0010167,PT
C4023991,Ivory epiphyses of the toes,HP:0010168,PT
C4021330,Curved toe phalanx,HP:0010176,PT
C4021323,Patchy sclerosis of distal toe phalanx,HP:0010190,PT
C4023974,Osteolytic defects of the middle phalanges of the toes,HP:0010198,PT
C4021315,Curved proximal toe phalanx,HP:0010206,PT
C4023966,Contractures of the metatarsophalangeal joint of the hallux,HP:0010215,PT
C4023964,Abnormality of the epiphysis of the 2nd metacarpal,HP:0010220,PT
C1865036,Enlarged epiphyses of the phalanges of the hand,HP:0010231,PT
C4023956,Abnormality of the epiphyses of the distal phalanx of finger,HP:0010243,PT
C4023948,Irregular epiphyses of the distal phalanges of the hand,HP:0010251,PT
C4023946,Small epiphyses of the distal phalanges of the hand,HP:0010254,PT
C4023938,Ivory epiphyses of the middle phalanges of the hand,HP:0010263,PT
C4023935,Stippling of the epiphyses of the middle phalanges of the hand,HP:0010266,PT
C4023934,Triangular epiphyses of the middle phalanges of the hand,HP:0010267,PT
C4023933,Absent epiphyses of the proximal phalanges of the hand,HP:0010268,PT
C4023932,Bracket epiphyses of the proximal phalanges of the hand,HP:0010269,PT
C4023931,Cone-shaped epiphyses of the proximal phalanges of the hand,HP:0010270,PT
C4023911,Aplasia/Hypoplasia of the breasts,HP:0010311,PT
C4023908,Abnormality of the 2nd toe,HP:0010319,PT
C4023906,Abnormality of the 4th toe,HP:0010321,PT
C4023905,Abnormality of the 5th toe,HP:0010322,PT
C4023900,Abnormality of the epiphyses of the 3rd toe,HP:0010329,PT
C1862698,Aplasia/Hypoplasia of the 3rd toe,HP:0010331,PT
C4023897,Abnormality of the epiphyses of the 4th toe,HP:0010335,PT
C4021286,Duplication of the phalanges of the 2nd toe,HP:0010355,PT
C4023884,Abnormality of the middle phalanx of the 2nd toe,HP:0010357,PT
C4023875,Aplasia/Hypoplasia of the phalanges of the 4th toe,HP:0010371,PT
C4023874,Broad phalanges of the 4th toe,HP:0010372,PT
C4021281,Bullet-shaped 4th toe phalanx,HP:0010373,PT
C4023865,Osteolytic defects of the phalanges of the 5th toe,HP:0010387,PT
C4021275,Patchy sclerosis of 5th toe phalanx,HP:0010388,PT
C4023843,Aplasia/Hypoplasia of the distal phalanx of the 2nd toe,HP:0010413,PT
C0205929,Anal fistula,HP:0010447,PT
C0266632,Ectopia of the spleen,HP:0010452,PT
C0266357,Patent urachus,HP:0010479,PT
C4023807,Abnormality of the hypothenar eminence,HP:0010486,PT
C1861395,Small hypothenar eminence,HP:0010487,PT
C4023803,Hypertrophy of the lower limb,HP:0010496,PT
C4021257,Aplasia of the tarsal bones,HP:0010509,PT
C4023794,Small sella turcica,HP:0010538,PT
C0751359,Percussion myotonia,HP:0010548,PT
C4023788,Hamartoma of the eye,HP:0010568,PT
C1849185,Elevated 7-dehydrocholesterol,HP:0010569,PT
C1833328,Enlarged epiphyses,HP:0010580,PT
C4023779,Abnormality of the proximal fibular epiphysis,HP:0010594,PT
C0019917,Hordeolum,HP:0010606,PT
C1858732,Malar prominence,HP:0010620,PT
C0410652,Cervical spine instability,HP:0010646,PT
C4021243,Abnormality of thalamus morphology,HP:0010663,PT
C4023742,Low tissue non-specific alkaline phosphatase,HP:0010683,PT
C4023737,Low placental alkaline phosphatase,HP:0010688,PT
C4023735,Lamellar pulverulent cataract,HP:0010694,PT
C4023734,Sutural cataract,HP:0010695,PT
C4021236,2-4 finger syndactyly,HP:0010709,PT
C4023722,Abnormality of hair texture,HP:0010719,PT
C1168239,Asymmetry of the ears,HP:0010722,PT
C4021828,Advanced pneumatization of the mastoid process,HP:0010724,PT
C4023719,Spontaneous rupture of the globe,HP:0010727,PT
C4021231,Aplasia of the phalanges of the toes,HP:0010745,PT
C3553754,Absent toe,HP:0010760,PT
C4021229,Low insertion of columella,HP:0010763,PT
C4023710,Palmar hyperkeratosis,HP:0010765,PT
C4023707,Tracheobronchmegaly,HP:0010776,PT
C0042138,Uterine neoplasm,HP:0010784,PT
C3693299,Broad uvula,HP:0010809,PT
C4023694,Abnormal position of hair whorl,HP:0010814,PT
C4023686,EEG with spike-wave complexes (<2.5 Hz),HP:0010847,PT
C4023683,EEG with spike-wave complexes,HP:0010850,PT
C4023634,Echogenic intracardiac focus,HP:0010942,PT
C2317073,Fetal pyelectasis,HP:0010945,PT
C0042025,Stress urinary incontinence,HP:0010992,PT
C4021206,Chromosomal breakage induced by ionizing radiation,HP:0010997,PT
C0029464,Increased bone mineral density,HP:0011001,PT
C0205191,Chronic,HP:0011010,PT
C4023571,Agenesis of primary maxillary central incisor,HP:0011046,PT
C4023566,Agenesis of premolar,HP:0011051,PT
C4023558,Dentinogenesis imperfecta limited to primary teeth,HP:0011060,PT
C0266030,Mesiodens,HP:0011067,PT
C4023551,Abnormality of dental color,HP:0011073,PT
C4023550,Localized hypoplasia of dental enamel,HP:0011074,PT
C4023546,Abnormality of canine,HP:0011078,PT
C0264611,Speech apraxia,HP:0011098,PT
C0546817,Hypervolemia,HP:0011105,PT
C4023535,Abnormality of serum cytokine level,HP:0011112,PT
C4023534,Abnormality of cytokine secretion,HP:0011113,PT
C3875321,Inflammatory abnormality of the skin,HP:0011123,PT
C4023520,Aplasia/Hypoplasia of the sweat glands,HP:0011135,PT
C4023519,Non-pruritic urticaria,HP:0011137,PT
C4023493,Beta-EEG,HP:0011179,PT
C4023487,Focal EEG discharges with propagation to ipsilateral hemisphere,HP:0011187,PT
C4023485,Bilateral multifocal epileptiform discharges,HP:0011189,PT
C4023476,EEG with generalized epileptiform discharges,HP:0011198,PT
C4023475,EEG with generalized sharp slow waves,HP:0011199,PT
C4023472,EEG with diffuse acceleration,HP:0011202,PT
C0266574,Ablepharon,HP:0011224,PT
C4021197,Antihelical shelf,HP:0011233,PT
C4021194,Underdeveloped inferior crus of antihelix,HP:0011239,PT
C4021188,Prominent superior crus of antihelix,HP:0011247,PT
C4023443,Absent antitragus,HP:0011249,PT
C4021180,Darwin notch of helix,HP:0011260,PT
C4021179,Darwin tubercle of helix,HP:0011261,PT
C4021176,Discontinuous ascending root of helix,HP:0011264,PT
C0221278,Anisocytosis,HP:0011273,PT
C4023435,Abnormality of urine bicarbonate concentration,HP:0011279,PT
C4021170,Abnormality of hindbrain morphology,HP:0011282,PT
C4023427,EEG with temporal sharp slow waves,HP:0011289,PT
C0426891,Broad thumb,HP:0011304,PT
C4021164,Bicoronal synostosis,HP:0011318,PT
C4021827,Pansynostosis,HP:0011325,PT
C3151495,Long upper lip,HP:0011341,PT
C3532934,Mild expressive language delay,HP:0011346,PT
C4023405,Abnormality of ocular abduction,HP:0011347,PT
C4021157,Generalized abnormality of skin,HP:0011354,PT
C4023381,Morphological abnormality of the inner ear,HP:0011390,PT
C5551365,Abnormal insertion of umbilical cord,HP:0011418,PT
C3532166,Fetal choroid plexus cysts,HP:0011426,PT
C4023363,Hypoplasia of fetal nasal bone,HP:0011430,PT
C4021148,Abnormality of the medulla oblongata,HP:0011441,PT
C0270742,Athetoid cerebral palsy,HP:0011445,PT
C4023351,Hyposegmentation of neutrophil nuclei,HP:0011447,PT
C0232608,Nasal regurgitation,HP:0011469,PT
C2675590,True anophthalmia,HP:0011478,PT
C4023334,Corneolenticular adhesion,HP:0011485,PT
C4023333,Abnormality of corneal thickness,HP:0011486,PT
C4023331,Abnormal migration of corneal endothelium,HP:0011489,PT
C0085109,Corneal neovascularization,HP:0011496,PT
C0344263,Posterior lenticonus,HP:0011502,PT
C4023322,Macular flecks,HP:0011507,PT
C0024441,Macular hole,HP:0011508,PT
C1622439,Lentiglobus,HP:0011527,PT
C4023307,L-looping of the right ventricle,HP:0011544,PT
C4023297,Straddling atrioventricular valve,HP:0011562,PT
C4021141,Common origin of the right brachiocephalic artery and left common carotid artery,HP:0011589,PT
C4023277,Left aortic arch with right descending aorta and right ductus arteriosus,HP:0011596,PT
C0265865,Mesocardia,HP:0011599,PT
C4023275,Abnormal direction of ventricular apex,HP:0011600,PT
C4021137,Type II truncus arteriosus,HP:0011608,PT
C0152419,Interrupted aortic arch,HP:0011611,PT
C0345093,Interrupted aortic arch type B,HP:0011613,PT
C4023267,Pulmonary situs ambiguus with bilateral morphologic left lungs,HP:0011619,PT
C1735886,Anomalous origin of left coronary artery from the pulmonary artery,HP:0011638,PT
C4023246,Double outlet right ventricle with non-committed ventricular septal defect and pulmonary stenosis,HP:0011653,PT
C4023235,Tetralogy of Fallot with atrioventricular canal defect,HP:0011677,PT
C4023233,Single ventricle of indeterminate morphology,HP:0011680,PT
C4023232,Infra-aortic superior vena cava,HP:0011685,PT
C4021132,Supraventricular tachycardia with an accessory connection mediated pathway,HP:0011688,PT
C4023219,Congenital malformation of the right heart,HP:0011723,PT
C4023213,Abnormality of adrenal morphology,HP:0011732,PT
C0271728,Secondary hyperaldosteronism,HP:0011741,PT
C2986550,Pituicytoma,HP:0011754,PT
C4023199,Abnormality of the parathyroid morphology,HP:0011766,PT
C4023186,Neoplasm by histology,HP:0011792,PT
C4023185,Neoplasm by anatomical site,HP:0011793,PT
C4551835,Intralobar nephroblastomatosis,HP:0011795,PT
C1853242,Midface retrusion,HP:0011800,PT
C0341047,Enlargement of parotid gland,HP:0011801,PT
C3277184,Decreased patellar reflex,HP:0011808,PT
C4023165,Abnormality of skeletal morphology,HP:0011842,PT
C0032131,Plasmacytoma,HP:0011857,PT
C1562761,Punctate keratitis,HP:0011859,PT
C4023158,Abnormal bone collagen fibril morphology,HP:0011862,PT
C4023153,Impaired thrombin-induced platelet aggregation,HP:0011872,PT
C4023145,Abnormal umbilical stump bleeding,HP:0011884,PT
C4023143,Bleeding with minor or no trauma,HP:0011889,PT
C4023141,Impaired thromboxane A2 agonist-induced platelet aggregation,HP:0011894,PT
C4023134,Flattened metacarpal heads,HP:0011909,PT
C4023128,Cardiovascular calcification,HP:0011915,PT
C4020740,Clinodactyly of the 4th toe,HP:0011918,PT
C4023124,Short digit,HP:0011927,PT
C4023122,Hypersegmentation of proximal phalanx of third finger,HP:0011929,PT
C4023113,Small vessel vasculitis,HP:0011944,PT
C4021107,Non-obstructive azoospermia,HP:0011961,PT
C0232466,Feeding difficulties,HP:0011968,PT
C0598121,Hypoglycorrhachia,HP:0011972,PT
C4020736,Elevated urinary homovanillic acid,HP:0011977,PT
C3277945,Atretic gallbladder,HP:0011984,PT
C4023096,Ectopic ossification in muscle tissue,HP:0011987,PT
C4023089,Postprandial hyperlactemia,HP:0011997,PT
C2206531,EEG with generalized spikes,HP:0012000,PT
C4023080,EEG with occipital focal spike waves,HP:0012011,PT
C0035615,Right aortic arch,HP:0012020,PT
C0023052,Laryngeal edema,HP:0012027,PT
C4023068,Increased urinary cortisol level,HP:0012030,PT
C0474444,Corneal stromal edema,HP:0012040,PT
C0151640,Decreased fertility in males,HP:0012041,PT
C0344243,Seesaw nystagmus,HP:0012044,PT
C0423414,Retinal flecks,HP:0012045,PT
C0151603,Anasarca,HP:0012050,PT
C0346388,Choroidal melanoma,HP:0012054,PT
C4082185,Unicameral bone cyst,HP:0012064,PT
C3278024,Enlarged cerebellum,HP:0012081,PT
C4023047,Abnormality of endocrine pancreas physiology,HP:0012093,PT
C4023044,Intracranial dermoid cyst,HP:0012097,PT
C4023041,Parietal cortical atrophy,HP:0012104,PT
C4021100,Increased fibular diameter,HP:0012107,PT
C0595989,Laryngeal carcinoma,HP:0012118,PT
C4023034,Abnormality of bone marrow stromal cells,HP:0012129,PT
C4023032,Dysplastic erythropoesis,HP:0012134,PT
C0271292,Decreased corneal sensation,HP:0012155,PT
C4023017,Intracranial internal carotid artery dissection,HP:0012160,PT
C0027338,Nail-biting,HP:0012170,PT
C0020450,Hyperemesis gravidarum,HP:0012188,PT
C4023004,Increased serum bile acid concentration,HP:0012202,PT
C0240412,Intramuscular hematoma,HP:0012233,PT
C0001824,Agranulocytosis,HP:0012234,PT
C1851108,Superior rectus atrophy,HP:0012242,PT
C4022995,Sex reversal,HP:0012245,PT
C0600125,Prolonged PR interval,HP:0012248,PT
C4022988,Absent inner dynein arms,HP:0012257,PT
C4022983,Abnormal ciliary motility,HP:0012262,PT
C1855672,Immotile cilia,HP:0012263,PT
C4022982,Absent central microtubular pair morphology of respiratory motile cilia,HP:0012264,PT
C4018858,J wave,HP:0012272,PT
C4022977,Increased carotid artery intimal medial thickness,HP:0012273,PT
C0008732,Chylous ascites,HP:0012281,PT
C4022966,Fusion of gums,HP:0012292,PT
C4022963,Slender middle phalanx of finger,HP:0012295,PT
C4022957,Abnormal rib ossification,HP:0012306,PT
C0263780,Bouchard's node,HP:0012314,PT
C0206643,Fibrous tissue neoplasm,HP:0012316,PT
C4022955,Absent pigmentation of the limbs,HP:0012320,PT
C1833429,D-2-hydroxyglutaric aciduria,HP:0012321,PT
C0751352,Sleep myoclonus,HP:0012323,PT
C4022950,Abnormal homeostasis,HP:0012337,PT
C4022922,Abnormal enzyme/coenzyme activity,HP:0012379,PT
C4022919,Appendicular hypotonia,HP:0012389,PT
C0403477,Medullary nephrocalcinosis,HP:0012408,PT
C0085383,Hypocapnia,HP:0012417,PT
C0333302,Stercoral ulcer,HP:0012425,PT
C0035258,Restless legs,HP:0012452,PT
C1504438,Cerebral artery stenosis,HP:0012492,PT
C0405124,Nuchal cord,HP:0012498,PT
C4022876,Abnormality of the brainstem white matter,HP:0012501,PT
C4022875,Abnormality of the internal capsule,HP:0012502,PT
C0344299,Temporal optic disc pallor,HP:0012511,PT
C0344882,Tetralogy of Fallot with pulmonary atresia,HP:0012516,PT
C4022865,Abnormal alpha granule distribution,HP:0012525,PT
C4021839,Abnormal dense granule content,HP:0012529,PT
C0458247,Allodynia,HP:0012533,PT
C4022856,Skewed maternal X inactivation,HP:0012546,PT
C4022842,Premature epimetaphyseal fusion in tibia,HP:0012564,PT
C3839997,Lower eyelid edema,HP:0012568,PT
C3693260,Abnormal urine output,HP:0012590,PT
C4022830,Heavy proteinuria,HP:0012597,PT
C4022819,Leukocyte cylindruria,HP:0012616,PT
C4022816,Cloacal abnormality,HP:0012620,PT
C1561643,Chronic kidney disease,HP:0012622,PT
C4022806,Increased caudate lactate level,HP:0012644,PT
C4022799,Abnormal brain positron emission tomography,HP:0012657,PT
C4022793,Mildly reduced ejection fraction,HP:0012663,PT
C4022789,Regional left ventricular wall motion abnormality,HP:0012667,PT
C0221046,Carotid sinus syncope,HP:0012669,PT
C4022779,Increased pineal volume,HP:0012686,PT
C4021073,Morphological abnormality of the gastrointestinal tract,HP:0012718,PT
C4022752,Saccular descending thoracic aortic aneurysm,HP:0012729,PT
C4022736,Impaired social reciprocity,HP:0012760,PT
C3281059,Broad jaw,HP:0012802,PT
C4020718,Wide nasal ridge,HP:0012811,PT
C4021065,Fullness of paranasal tissue,HP:0012812,PT
C2945599,Mild,HP:0012825,PT
C0439808,Profound,HP:0012829,PT
C1860475,Retinal vascular tortuosity,HP:0012841,PT
C4022710,Single trichilemmoma,HP:0012845,PT
C0345200,Small intestinal dysmotility,HP:0012850,PT
C4022706,Increased scrotal rugation,HP:0012857,PT
C0346170,Ovarian serous cystadenoma,HP:0012887,PT
C4022689,Paraspinal muscle hypertrophy,HP:0012894,PT
C4022683,Myotonia of the upper limb,HP:0012903,PT
C4022675,Increased female libido,HP:0030019,PT
C4021056,Struvite nephrolithiasis,HP:0030035,PT
C0685678,Incomplete ossification of pubis,HP:0030042,PT
C0206715,Neuroepithelial neoplasm,HP:0030063,PT
C0700367,Ependymoblastoma,HP:0030066,PT
C4022658,Punctate periventricular T2 hyperintense foci,HP:0030081,PT
C4021053,Reduced muscle dystrophin expression,HP:0030098,PT
C4022638,Reduced muscle fiber beta sarcoglycan,HP:0030107,PT
C4022633,Abnormal muscle fiber alpha dystroglycan,HP:0030112,PT
C4022628,Absent muscle fiber emerin,HP:0030117,PT
C4022621,Reduced muscle fiber lamin A/C,HP:0030124,PT
C0559262,Sacralization of the fifth lumbar vertebra,HP:0030125,PT
C4022618,Impaired von Willibrand factor collagen binding activity,HP:0030130,PT
C4022607,Abnormality of the posterior hairline,HP:0030141,PT
C0232695,Hypoactive bowel sounds,HP:0030144,PT
C4022606,Lack of bowel sounds,HP:0030145,PT
C2674512,Truncal titubation,HP:0030147,PT
C0549295,Plasmacytosis,HP:0030150,PT
C4021050,Dilated superficial abdominal veins,HP:0030168,PT
C4022598,Asymmetric peripheral demyelination,HP:0030176,PT
C4021048,Gordon reflex,HP:0030181,PT
C4022594,Isometric tremor,HP:0030185,PT
C4022583,Fatiguable weakness of proximal limb muscles,HP:0030200,PT
C0231852,Paradoxical respiration,HP:0030207,PT
C4022570,Abnormal muscle fiber valosin-containing protein,HP:0030228,PT
C4022569,Accumulation of muscle fiber valosin-containing protein,HP:0030229,PT
C4021041,Maternal fever in pregnancy,HP:0030244,PT
C1407019,Torsion of the penis,HP:0030263,PT
C4022548,Hyperplastic callus formation,HP:0030268,PT
C4022539,Hypoplastic L5 vertebral pedicle,HP:0030279,PT
C1827299,Partial absence of the septum pellucidum,HP:0030283,PT
C4022524,Hypoplastic anterior commissure,HP:0030303,PT
C4022522,Decreased number of vertebrae,HP:0030305,PT
C0221237,Angular cheilitis,HP:0030318,PT
C0427055,Weakness of facial musculature,HP:0030319,PT
C4021859,"Abnormal CD4-positive, CD25-positive, alpha-beta regulatory T cell count",HP:0030335,PT
C4022489,Protruding coccyx,HP:0040017,PT
C4022484,Clinodactyly of the 4th finger,HP:0040025,PT
C4022477,Onychogryposis of fingernail,HP:0040036,PT
C0020635,Hypopituitarism,HP:0040075,PT
C4022445,Asymmetry of the shape of the ears,HP:0040092,PT
C0262475,Abnormality of the Eustachian tube,HP:0040115,PT
C0266616,Aplasia of the Eustachian tube,HP:0040116,PT
C3888081,L-2-hydroxyglutaric acidemia,HP:0040147,PT
C1335381,Pericardial mesothelioma,HP:0100004,PT
C1862689,Stahl ear,HP:0100015,PT
C4022384,Abnormality of the scalp hair,HP:0100037,PT
C4022379,Broad 4th toe,HP:0100042,PT
C4022376,Bracket epiphyses of the 2nd toe,HP:0100045,PT
C4022370,Pseudoepiphyses of the 2nd toe,HP:0100051,PT
C4022367,Triangular epiphyses of the 2nd toe,HP:0100054,PT
C4022362,Fragmentation of the epiphyses of the 3rd toe,HP:0100059,PT
C4022359,Pseudoepiphyses of the 3rd toe,HP:0100062,PT
C4022324,Abnormality of the epiphysis of the distal phalanx of the 5th toe,HP:0100097,PT
C4022304,Ivory epiphysis of the middle phalanx of the 2nd toe,HP:0100117,PT
C4022302,Small epiphysis of the middle phalanx of the 2nd toe,HP:0100119,PT
C4022301,Stippling of the epiphysis of the middle phalanx of the 2nd toe,HP:0100120,PT
C4022293,Ivory epiphysis of the proximal phalanx of the 2nd toe,HP:0100128,PT
C4022274,Bracket epiphysis of the middle phalanx of the 3rd toe,HP:0100147,PT
C4022266,Stippling of the epiphysis of the middle phalanx of the 3rd toe,HP:0100155,PT
C4022264,Absent epiphysis of the proximal phalanx of the 3rd toe,HP:0100157,PT
C4022251,Bracket epiphysis of the distal phalanx of the 4th toe,HP:0100170,PT
C4022250,Cone-shaped epiphysis of the distal phalanx of the 4th toe,HP:0100171,PT
C4022247,Irregular epiphysis of the distal phalanx of the 4th toe,HP:0100174,PT
C4022240,Bracket epiphysis of the middle phalanx of the 4th toe,HP:0100181,PT
C4022239,Cone-shaped epiphysis of the middle phalanx of the 4th toe,HP:0100182,PT
C4022236,Irregular epiphysis of the middle phalanx of the 4th toe,HP:0100185,PT
C4022235,Ivory epiphysis of the middle phalanx of the 4th toe,HP:0100186,PT
C4022231,Triangular epiphysis of the middle phalanx of the 4th toe,HP:0100190,PT
C4022203,Irregular epiphysis of the middle phalanx of the 5th toe,HP:0100218,PT
C4022197,Absent epiphysis of the proximal phalanx of the 5th toe,HP:0100224,PT
C4022195,Cone-shaped epiphysis of the proximal phalanx of the 5th toe,HP:0100226,PT
C0016057,Fibrosarcoma,HP:0100244,PT
C0744897,Recurrent singultus,HP:0100247,PT
C0221169,Hemiballismus,HP:0100248,PT
C0333463,Senile plaques,HP:0100256,PT
C4022175,Paramedian lip pit,HP:0100269,PT
C1854699,Diffuse cerebellar atrophy,HP:0100275,PT
C4022159,Muscle fiber inclusion bodies,HP:0100299,PT
C4022153,Cerebral cortical hemiatrophy,HP:0100308,PT
C0238154,Epidural hemorrhage,HP:0100310,PT
C0392005,Bilateral cleft lip,HP:0100336,PT
C4022128,Contracture of the metatarsophalangeal joint of the 3rd toe,HP:0100357,PT
C4021013,Short phalanx of the 4th toe,HP:0100367,PT
C4022120,Aplasia/Hypoplasia of the distal phalanx of the 5th toe,HP:0100371,PT
C4022117,Aplasia/Hypoplasia of the middle phalanx of the 5th toe,HP:0100374,PT
C4021010,Absent middle phalanx of the 3rd toe,HP:0100381,PT
C4022109,Aplasia of the proximal phalanx of the 4th toe,HP:0100385,PT
C4022107,Aplasia of the middle phalanges of the toes,HP:0100387,PT
C4021005,Short middle phalanx of the 3rd toe,HP:0100392,PT
C4020980,Partial duplication of the middle phalanx of the 3rd toe,HP:0100419,PT
C4020979,Partial duplication of the middle phalanx of the 4th toe,HP:0100420,PT
C4022091,Bullet-shaped middle phalanx of the 5th toe,HP:0100436,PT
C4022090,Bullet-shaped proximal phalanx of the 3rd toe,HP:0100437,PT
C4022087,Bullet-shaped distal phalanx of the 3rd toe,HP:0100440,PT
C4022078,Curved distal phalanx of the 3rd toe,HP:0100449,PT
C4022066,Patchy sclerosis of the middle phalanx of the 3rd toe,HP:0100461,PT
C4022062,Patchy sclerosis of the proximal phalanx of the 4th toe,HP:0100465,PT
C4022057,Symphalangism affecting the middle phalanx of the 3rd toe,HP:0100470,PT
C4022048,Symphalangism of the proximal phalanx of the 2nd toe with the 2nd metatarsal,HP:0100483,PT
C4015136,Recurrent bronchiolitis,HP:0100501,PT
C0003460,Anuria,HP:0100519,PT
C0265551,Limb duplication,HP:0100524,PT
C4022024,Upper limb asymmetry,HP:0100560,PT
C0014132,Neoplasm of the endocrine system,HP:0100568,PT
C4020965,Cardiac diverticulum,HP:0100571,PT
C4022021,Muscular cardiac diverticulum,HP:0100573,PT
C0149793,Amaurosis fugax,HP:0100576,PT
C4020963,Absent nares,HP:0100596,PT
C0023055,Neoplasm of the larynx,HP:0100605,PT
C4022013,Multiple glomerular cysts,HP:0100611,PT
C0013377,Dysgerminoma,HP:0100621,PT
C0006288,Pulmonary sequestration,HP:0100632,PT
C0266166,Intestinal duplication,HP:0100668,PT
C1442998,Vaginal hernia,HP:0100672,PT
C4022000,Vaginal pyocele,HP:0100675,PT
C4021986,Hypoplasia of the ear cartilage,HP:0100720,PT
C0520743,Mediastinal lymphadenopathy,HP:0100721,PT
C0019618,Histiocytosis,HP:0100727,PT
C2748652,Large face,HP:0100729,PT
C0564408,Mania,HP:0100754,PT
C0010403,Cryoglobulinemia,HP:0100778,PT
C4021972,Urogenital sinus anomaly,HP:0100779,PT
C4021969,Abnormally straight spine,HP:0100795,PT
C3276623,Toenail dysplasia,HP:0100797,PT
C4021966,Abnormality of the periungual region,HP:0100803,PT
C0038355,Gastric diverticulum,HP:0100808,PT
C0151206,Scalp tenderness,HP:0100809,PT
C4020951,Pointed helix,HP:0100810,PT
C0018520,Halitosis,HP:0100812,PT
C4021963,Lip hyperpigmentation,HP:0100816,PT
C0238502,Urethrocele,HP:0100821,PT
C0345832,Neoplasm of the small intestine,HP:0100833,PT
C0347509,Benign neoplasm of the central nervous system,HP:0100835,PT
C0263428,Atrophodermia vermiculata,HP:0100837,PT
C4021947,Hemimacroglossia,HP:0100875,PT
C0677608,Chorangioma,HP:0100883,PT
C0334083,Connective tissue nevi,HP:0100898,PT
C4021933,Sclerosis of the proximal phalanx of the 3rd finger,HP:0100909,PT
C4021932,Sclerosis of the proximal phalanx of the 4th finger,HP:0100910,PT
C4020940,Sclerosis of distal finger phalanx,HP:0100915,PT
C4020931,Sclerosis of foot bone,HP:0100925,PT
C4020927,Sclerosis of 5th toe phalanx,HP:0100929,PT
C4021920,Sclerosis of the middle phalanx of the 5th toe,HP:0100938,PT
C2675973,Open operculum,HP:0100954,PT
C4021909,Asymmetric ventricles,HP:0100960,PT
C0020453,Hyperesthesia,HP:0100963,PT
C0205770,Choroid plexus papilloma,HP:0200022,PT
C0151827,Ocular pain,HP:0200026,PT
C3665596,Verrucae,HP:0200043,PT
C4021897,Bracket metacarpal epiphyses,HP:0200050,PT
C0018923,Angiosarcoma,HP:0200058,PT
C4021893,Nonprogressive visual loss,HP:0200068,PT
C3280349,Peripheral vitreoretinal degeneration,HP:0200071,PT
C1835446,Severe limb shortening,HP:0200083,PT
C2673954,Absent skin pigmentation,HP:0200098,PT
C1850816,Decreased/absent ankle reflexes,HP:0200101,PT
C4020917,Absent fifth fingernail,HP:0200104,PT
C4021890,Shortened inner dynein arms,HP:0200107,PT
C4021889,Shortened outer dynein arms,HP:0200108,PT
C0750292,Malabsorption of Vitamin B12,HP:0200118,PT
